1980-12-31 18:14 (Wednesday) | Place: City30 | go do nothing.
1977-10-16 09:25 (Sunday) | Place: City10 | go do nothing.
1927-07-30 18:15 (Saturday) | Place: City30 | go do nothing.
2009-03-02 13:51 (Monday) | Place: City34 | go do nothing.
2085-03-22 11:33 (Thursday) | Place: City22 | go do nothing.
2045-11-24 14:44 (Friday) | Place: Vladivostok | go do nothing.
2043-04-10 13:01 (Friday) | Place: Ryazan | go do nothing.
2084-06-09 10:25 (Friday) | Place: Vladivostok | go do nothing.
2060-09-24 18:02 (Friday) | Place: City1 | go do nothing.
1935-10-14 13:15 (Monday) | Place: Samara | go do nothing.
1988-11-16 16:43 (Wednesday) | Place: Samara | go do nothing.
1910-03-20 09:02 (Sunday) | Place: Kaliningrad | go do nothing.
2065-01-29 10:18 (Thursday) | Place: City9 | go do nothing.
1914-07-19 15:36 (Sunday) | Place: City16 | go do nothing.
1950-10-22 19:13 (Sunday) | Place: City28 | go do nothing.
1957-10-04 15:32 (Friday) | Place: City11 | go do nothing.
1953-12-14 09:35 (Monday) | Place: Tula | go do nothing.
2014-10-10 16:06 (Friday) | Place: Naberezhnye Chelny | go do nothing.
2073-05-31 14:21 (Wednesday) | Place: Volgograd | go do nothing.
1947-04-22 09:40 (Tuesday) | Place: City31 | go do nothing.
1969-03-19 16:54 (Wednesday) | Place: City33 | go do nothing.
2001-05-11 19:34 (Friday) | Place: Irkutsk | go do nothing.
1977-11-18 09:59 (Friday) | Place: City1 | go do nothing.
1911-02-12 08:53 (Sunday) | Place: City2 | go do nothing.
2094-11-11 08:49 (Thursday) | Place: Ryazan | go do nothing.
2016-12-26 15:55 (Monday) | Place: Rostov-on-Don | go do nothing.
2043-11-16 17:44 (Monday) | Place: Nizhny Novgorod | go do nothing.
1936-07-23 19:24 (Thursday) | Place: City4 | go do nothing.
2059-07-23 18:40 (Wednesday) | Place: Barnaul | go do nothing.
2018-11-28 16:35 (Wednesday) | Place: Ulyanovsk | go do nothing.
2038-01-14 15:25 (Thursday) | Place: Kemerovo | go do nothing.
2048-11-13 17:12 (Friday) | Place: City26 | go do nothing.
1934-07-07 17:18 (Saturday) | Place: Khabarovsk | go do nothing.
2072-06-08 19:08 (Wednesday) | Place: Izhevsk | go do nothing.
2033-01-25 18:33 (Tuesday) | Place: Perm | go do nothing.
2049-04-26 11:21 (Monday) | Place: City7 | go do nothing.
1930-04-12 15:28 (Saturday) | Place: City27 | go do nothing.
2082-05-08 08:45 (Friday) | Place: Kirov | go do nothing.
2078-03-15 14:19 (Tuesday) | Place: City14 | go do nothing.
2015-09-24 17:10 (Thursday) | Place: City21 | go do nothing.
1934-11-07 15:24 (Wednesday) | Place: Vladivostok | go do nothing.
1984-06-29 13:05 (Friday) | Place: City11 | go do nothing.
1988-11-12 13:35 (Saturday) | Place: Voronezh | go do nothing.
2072-09-22 12:29 (Thursday) | Place: Kemerovo | go do nothing.
1908-06-26 16:17 (Friday) | Place: Omsk | go do nothing.
2003-04-19 19:03 (Saturday) | Place: Perm | go do nothing.
2035-07-08 12:25 (Sunday) | Place: City21 | go do nothing.
2010-02-20 15:42 (Saturday) | Place: Saint Pyotrsburg | go do nothing.
2050-05-07 09:51 (Saturday) | Place: Ryazan | go do nothing.
2020-07-10 19:01 (Friday) | Place: Lipetsk | go do nothing.
1949-09-16 12:36 (Friday) | Place: City27 | go do nothing.
1986-02-15 11:55 (Saturday) | Place: Omsk | go do nothing.
2031-09-15 10:21 (Monday) | Place: Novosibirsk | go do nothing.
2037-07-03 18:59 (Friday) | Place: Irkutsk | go do nothing.
1987-10-02 08:39 (Friday) | Place: City24 | go do nothing.
2062-02-06 08:30 (Monday) | Place: City28 | go do nothing.
2071-06-03 09:43 (Wednesday) | Place: Kirov | go do nothing.
2046-01-16 17:00 (Tuesday) | Place: City18 | go do nothing.
1944-11-12 19:11 (Sunday) | Place: City22 | go do nothing.
2083-02-02 17:27 (Tuesday) | Place: Kazan | go do nothing.
1969-11-26 11:01 (Wednesday) | Place: Izhevsk | go do nothing.
1995-11-27 11:45 (Monday) | Place: Novosibirsk | go do nothing.
2047-06-16 17:36 (Sunday) | Place: City4 | go do nothing.
2054-09-23 15:14 (Wednesday) | Place: Makhachkala | go do nothing.
1969-07-25 16:39 (Friday) | Place: Moscow | go do nothing.
2026-08-23 10:15 (Sunday) | Place: City30 | go do nothing.
2047-01-29 11:30 (Tuesday) | Place: City17 | go do nothing.
2094-09-13 16:23 (Monday) | Place: City16 | go do nothing.
1914-01-16 10:56 (Friday) | Place: City30 | go do nothing.
1901-07-25 17:26 (Thursday) | Place: City27 | go do nothing.
1986-05-21 14:39 (Wednesday) | Place: Kemerovo | go do nothing.
2082-02-22 09:03 (Sunday) | Place: City16 | go do nothing.
2000-02-19 10:13 (Saturday) | Place: Lipetsk | go do nothing.
1935-09-29 12:09 (Sunday) | Place: Ryazan | go do nothing.
1978-04-08 09:53 (Saturday) | Place: City24 | go do nothing.
2086-10-18 11:24 (Friday) | Place: City6 | go do nothing.
2078-10-09 18:49 (Sunday) | Place: City6 | go do nothing.
2092-02-14 15:47 (Thursday) | Place: City4 | go do nothing.
2095-07-28 09:01 (Thursday) | Place: City7 | go do nothing.
2030-11-27 16:43 (Wednesday) | Place: Irkutsk | go do nothing.
1955-02-20 11:03 (Sunday) | Place: Khabarovsk | go do nothing.
2008-08-28 16:13 (Thursday) | Place: Tyumen | go do nothing.
2070-08-15 17:51 (Friday) | Place: City15 | go do nothing.
2078-05-31 15:37 (Tuesday) | Place: Naberezhnye Chelny | go do nothing.
1916-10-27 15:16 (Friday) | Place: Naberezhnye Chelny | go do nothing.
2012-12-12 13:15 (Wednesday) | Place: Tula | go do nothing.
1988-03-15 19:28 (Tuesday) | Place: Cheboksary | go do nothing.
1935-08-27 18:58 (Tuesday) | Place: Kemerovo | go do nothing.
1915-06-13 11:58 (Sunday) | Place: City6 | go do nothing.
2080-05-14 13:40 (Tuesday) | Place: City20 | go do nothing.
1924-01-19 15:17 (Saturday) | Place: Rostov-on-Don | go do nothing.
2058-03-22 16:34 (Friday) | Place: City13 | go do nothing.
1950-11-02 15:35 (Thursday) | Place: City18 | go do nothing.
1981-09-04 19:12 (Friday) | Place: Izhevsk | go do nothing.
2096-10-15 16:04 (Monday) | Place: City28 | go do nothing.
1903-10-23 12:31 (Friday) | Place: City21 | go do nothing.
1942-01-19 13:29 (Monday) | Place: City1 | go do nothing.
1978-08-26 10:03 (Saturday) | Place: City33 | go do nothing.
1943-02-26 15:22 (Friday) | Place: City29 | go do nothing.
2099-04-12 17:45 (Sunday) | Place: City8 | go do nothing.
2068-03-02 18:14 (Friday) | Place: City15 | go do nothing.
1957-09-10 10:05 (Tuesday) | Place: Nizhny Novgorod | go do nothing.
1908-07-20 18:02 (Monday) | Place: City23 | go do nothing.
1991-07-30 16:31 (Tuesday) | Place: Chelyabinsk | go do nothing.
1988-04-25 14:27 (Monday) | Place: City22 | go do nothing.
2014-04-03 19:49 (Thursday) | Place: City6 | go do nothing.
2074-02-24 11:58 (Saturday) | Place: City33 | go do nothing.
2055-01-14 17:19 (Thursday) | Place: Kirov | go do nothing.
1914-04-10 09:32 (Friday) | Place: Khabarovsk | go do nothing.
2022-06-05 18:09 (Sunday) | Place: City10 | go do nothing.
2002-07-02 14:37 (Tuesday) | Place: Yekaterinburg | go do nothing.
2053-07-25 17:37 (Friday) | Place: Saint Pyotrsburg | go do nothing.
1978-05-23 15:17 (Tuesday) | Place: City24 | go do nothing.
2017-03-10 16:20 (Friday) | Place: City6 | go do nothing.
1923-03-16 17:30 (Friday) | Place: Nizhny Novgorod | go do nothing.
1956-10-13 08:36 (Saturday) | Place: City16 | go do nothing.
1976-03-08 14:20 (Monday) | Place: Irkutsk | go do nothing.
2079-12-26 13:55 (Tuesday) | Place: Izhevsk | go do nothing.
1917-06-12 13:57 (Tuesday) | Place: Ryazan | go do nothing.
1927-06-20 15:07 (Monday) | Place: Ufa | go do nothing.
2093-11-26 13:37 (Thursday) | Place: City28 | go do nothing.
1979-09-15 12:21 (Saturday) | Place: Kirov | go do nothing.
1902-01-07 16:19 (Tuesday) | Place: Lipetsk | go do nothing.
2083-06-23 11:44 (Wednesday) | Place: City1 | go do nothing.
2059-03-12 18:28 (Wednesday) | Place: Krasnodar | go do nothing.
2076-11-29 08:48 (Sunday) | Place: City8 | go do nothing.
2094-04-10 11:29 (Saturday) | Place: Orenburg | go do nothing.
1919-11-18 19:02 (Tuesday) | Place: City25 | go do nothing.
2049-03-12 15:00 (Friday) | Place: Kaliningrad | go do nothing.
1906-08-31 12:43 (Friday) | Place: Ufa | go do nothing.
2048-06-10 14:29 (Wednesday) | Place: Kemerovo | go do nothing.
2078-05-21 17:23 (Saturday) | Place: Penza | go do nothing.
1965-05-24 10:50 (Monday) | Place: City17 | go do nothing.
2050-12-18 08:56 (Sunday) | Place: City14 | go do nothing.
1934-04-14 13:56 (Saturday) | Place: Samara | go do nothing.
1911-11-14 10:25 (Tuesday) | Place: Kazan | go do nothing.
2091-05-25 13:29 (Friday) | Place: City24 | go do nothing.
2006-04-12 10:09 (Wednesday) | Place: Astrakhan | go do nothing.
1929-05-12 13:56 (Sunday) | Place: City1 | go do nothing.
1972-07-17 16:58 (Monday) | Place: Izhevsk | go do nothing.
2021-11-07 11:48 (Sunday) | Place: City4 | go do nothing.
2033-05-19 13:20 (Thursday) | Place: City33 | go do nothing.
1955-10-11 09:49 (Tuesday) | Place: City11 | go do nothing.
2044-06-05 15:43 (Sunday) | Place: City25 | go do nothing.
2013-08-26 12:15 (Monday) | Place: Vladivostok | go do nothing.
1910-07-28 10:31 (Thursday) | Place: Khabarovsk | go do nothing.
2068-09-22 18:39 (Saturday) | Place: City2 | go do nothing.
2059-01-25 14:02 (Saturday) | Place: Saint Pyotrsburg | go do nothing.
2069-10-10 12:16 (Thursday) | Place: Barnaul | go do nothing.
1906-07-05 19:50 (Thursday) | Place: Tomsk | go do nothing.
2063-10-04 17:28 (Thursday) | Place: Lipetsk | go do nothing.
2059-09-03 12:44 (Wednesday) | Place: Ulyanovsk | go do nothing.
2087-07-30 19:07 (Wednesday) | Place: Lipetsk | go do nothing.
1984-01-26 09:09 (Thursday) | Place: City14 | go do nothing.
1922-07-11 17:55 (Tuesday) | Place: City24 | go do nothing.
1914-03-03 13:37 (Tuesday) | Place: Cheboksary | go do nothing.
2094-07-05 16:40 (Monday) | Place: City24 | go do nothing.
1963-06-23 09:13 (Sunday) | Place: City23 | go do nothing.
2026-03-04 09:34 (Wednesday) | Place: Tula | go do nothing.
1976-08-26 18:38 (Thursday) | Place: City25 | go do nothing.
1942-07-02 18:21 (Thursday) | Place: Kirov | go do nothing.
1970-04-22 18:30 (Wednesday) | Place: Perm | go do nothing.
2078-02-07 12:20 (Monday) | Place: Barnaul | go do nothing.
2030-11-05 09:57 (Tuesday) | Place: Tomsk | go do nothing.
1981-08-20 15:55 (Thursday) | Place: Kemerovo | go do nothing.
2004-04-11 15:22 (Sunday) | Place: Naberezhnye Chelny | go do nothing.
2008-02-13 15:53 (Wednesday) | Place: City25 | go do nothing.
2026-06-14 17:20 (Sunday) | Place: City10 | go do nothing.
1996-03-25 14:15 (Monday) | Place: City19 | go do nothing.
2008-01-30 08:34 (Wednesday) | Place: City31 | go do nothing.
1977-11-12 08:33 (Saturday) | Place: City18 | go do nothing.
2024-11-13 14:42 (Wednesday) | Place: City28 | go do nothing.
1932-03-14 10:18 (Monday) | Place: Saint Pyotrsburg | go do nothing.
1998-06-22 12:00 (Monday) | Place: Saint Pyotrsburg | go do nothing.
2097-02-24 16:45 (Sunday) | Place: City31 | go do nothing.
1959-02-27 11:09 (Friday) | Place: Voronezh | go do nothing.
1947-08-26 16:00 (Tuesday) | Place: City8 | go do nothing.
1997-11-15 15:36 (Saturday) | Place: City20 | go do nothing.
1959-04-26 16:27 (Sunday) | Place: City4 | go do nothing.
2081-06-21 11:38 (Saturday) | Place: City13 | go do nothing.
1960-04-04 12:10 (Monday) | Place: City5 | go do nothing.
1991-11-27 16:33 (Wednesday) | Place: Orenburg | go do nothing.
1927-04-17 10:05 (Sunday) | Place: City5 | go do nothing.
2008-05-09 10:41 (Friday) | Place: Voronezh | go do nothing.
2031-04-05 18:40 (Saturday) | Place: Samara | go do nothing.
1944-07-21 14:15 (Friday) | Place: City34 | go do nothing.
2018-01-20 15:53 (Saturday) | Place: City4 | go do nothing.
2015-07-09 17:43 (Thursday) | Place: Kaliningrad | go do nothing.
1928-10-21 14:10 (Sunday) | Place: City12 | go do nothing.
1964-07-27 17:00 (Monday) | Place: City16 | go do nothing.
2027-06-08 16:48 (Tuesday) | Place: City25 | go do nothing.
2004-06-06 10:00 (Sunday) | Place: City27 | go do nothing.
2084-01-01 16:24 (Saturday) | Place: City21 | go do nothing.
1966-04-04 08:56 (Monday) | Place: City4 | go do nothing.
2069-11-29 10:02 (Friday) | Place: Astrakhan | go do nothing.
1901-10-10 16:29 (Thursday) | Place: Kirov | go do nothing.
2043-11-03 18:58 (Tuesday) | Place: Moscow | go do nothing.
2071-11-07 14:26 (Saturday) | Place: Orenburg | go do nothing.
1921-10-15 09:50 (Saturday) | Place: City11 | go do nothing.
1938-03-07 19:04 (Monday) | Place: Chelyabinsk | go do nothing.
1933-10-10 14:21 (Tuesday) | Place: City22 | go do nothing.
1978-07-01 16:50 (Saturday) | Place: Tula | go do nothing.
1907-10-27 14:05 (Sunday) | Place: City30 | go do nothing.
2010-03-23 17:25 (Tuesday) | Place: Voronezh | go do nothing.
2081-05-09 16:38 (Friday) | Place: Tyumen | go do nothing.
2055-04-09 11:42 (Friday) | Place: Samara | go do nothing.
2083-01-22 13:50 (Friday) | Place: City14 | go do nothing.
1923-09-08 17:46 (Saturday) | Place: Kazan | go do nothing.
1955-05-06 19:41 (Friday) | Place: City17 | go do nothing.
2043-08-13 10:32 (Thursday) | Place: Ufa | go do nothing.
1934-02-14 15:58 (Wednesday) | Place: City21 | go do nothing.
2013-07-16 19:10 (Tuesday) | Place: City2 | go do nothing.
1906-12-21 09:49 (Friday) | Place: Volgograd | go do nothing.
2044-04-30 18:20 (Saturday) | Place: Saratov | go do nothing.
2019-05-10 17:48 (Friday) | Place: City1 | go do nothing.
2064-12-21 17:28 (Sunday) | Place: Makhachkala | go do nothing.
1988-01-04 12:19 (Monday) | Place: Lipetsk | go do nothing.
2024-08-19 12:18 (Monday) | Place: City1 | go do nothing.
2060-02-11 12:28 (Wednesday) | Place: City4 | go do nothing.
2042-05-26 14:20 (Monday) | Place: Rostov-on-Don | go do nothing.
2043-06-19 12:45 (Friday) | Place: City9 | go do nothing.
1972-05-10 18:16 (Wednesday) | Place: City14 | go do nothing.
1940-10-17 16:10 (Thursday) | Place: Tula | go do nothing.
2060-01-06 17:39 (Tuesday) | Place: Voronezh | go do nothing.
1964-03-17 18:58 (Tuesday) | Place: Makhachkala | go do nothing.
1911-04-20 15:44 (Thursday) | Place: City32 | go do nothing.
1991-08-09 19:19 (Friday) | Place: Rostov-on-Don | go do nothing.
1976-09-17 09:01 (Friday) | Place: City19 | go do nothing.
1924-04-21 13:36 (Monday) | Place: Ulyanovsk | go do nothing.
2086-12-04 11:16 (Wednesday) | Place: Izhevsk | go do nothing.
1968-09-13 18:36 (Friday) | Place: City4 | go do nothing.
2014-11-12 19:27 (Wednesday) | Place: Makhachkala | go do nothing.
1964-01-12 14:32 (Sunday) | Place: Tomsk | go do nothing.
1959-03-24 11:18 (Tuesday) | Place: City21 | go do nothing.
2045-01-15 14:03 (Sunday) | Place: City10 | go do nothing.
1970-11-08 19:34 (Sunday) | Place: City4 | go do nothing.
2057-09-19 08:42 (Wednesday) | Place: Krasnodar | go do nothing.
2069-06-12 09:25 (Wednesday) | Place: City3 | go do nothing.
2016-08-22 19:11 (Monday) | Place: Samara | go do nothing.
2067-10-07 11:09 (Friday) | Place: Tyumen | go do nothing.
1933-05-28 11:04 (Sunday) | Place: City8 | go do nothing.
2026-12-30 12:59 (Wednesday) | Place: City33 | go do nothing.
2050-06-24 11:20 (Friday) | Place: City14 | go do nothing.
2034-09-23 15:33 (Saturday) | Place: City34 | go do nothing.
2099-02-08 08:45 (Sunday) | Place: City29 | go do nothing.
1940-11-25 14:26 (Monday) | Place: Krasnoyarsk | go do nothing.
1942-05-24 12:43 (Sunday) | Place: City14 | go do nothing.
2083-10-21 15:42 (Thursday) | Place: City1 | go do nothing.
1905-07-17 14:46 (Monday) | Place: Astrakhan | go do nothing.
2005-07-11 16:15 (Monday) | Place: City6 | go do nothing.
1929-08-20 18:19 (Tuesday) | Place: Makhachkala | go do nothing.
2009-09-02 10:28 (Wednesday) | Place: City9 | go do nothing.
1927-02-19 08:56 (Saturday) | Place: Krasnoyarsk | go do nothing.
1940-06-09 15:45 (Sunday) | Place: Voronezh | go do nothing.
2044-10-02 16:18 (Sunday) | Place: Krasnodar | go do nothing.
1913-11-19 18:21 (Wednesday) | Place: City5 | go do nothing.
1986-09-12 14:51 (Friday) | Place: City26 | go do nothing.
1965-09-29 08:49 (Wednesday) | Place: City12 | go do nothing.
2081-02-24 12:26 (Monday) | Place: Yekaterinburg | go do nothing.
1930-02-24 12:04 (Monday) | Place: City20 | go do nothing.
1977-02-12 12:00 (Saturday) | Place: Orenburg | go do nothing.
1984-07-22 13:40 (Sunday) | Place: City3 | go do nothing.
1968-01-16 09:27 (Tuesday) | Place: Astrakhan | go do nothing.
1991-03-21 15:40 (Thursday) | Place: City6 | go do nothing.
1986-03-29 12:45 (Saturday) | Place: Kazan | go do nothing.
2033-06-30 08:37 (Thursday) | Place: City30 | go do nothing.
2068-07-09 16:44 (Monday) | Place: Khabarovsk | go do nothing.
1970-08-02 14:14 (Sunday) | Place: City2 | go do nothing.
1925-08-04 17:56 (Tuesday) | Place: City12 | go do nothing.
1995-12-05 12:21 (Tuesday) | Place: City8 | go do nothing.
2047-07-22 15:17 (Monday) | Place: Perm | go do nothing.
1919-02-25 12:53 (Tuesday) | Place: City26 | go do nothing.
2057-01-30 13:49 (Tuesday) | Place: City27 | go do nothing.
2079-04-04 19:38 (Tuesday) | Place: Tyumen | go do nothing.
2005-03-14 19:40 (Monday) | Place: City22 | go do nothing.
2098-07-01 17:23 (Tuesday) | Place: City3 | go do nothing.
2038-06-16 18:02 (Wednesday) | Place: City8 | go do nothing.
2013-07-28 14:36 (Sunday) | Place: Rostov-on-Don | go do nothing.
1956-07-20 11:50 (Friday) | Place: City33 | go do nothing.
2008-08-22 14:21 (Friday) | Place: City1 | go do nothing.
1971-09-16 12:18 (Thursday) | Place: Khabarovsk | go do nothing.
1954-08-28 08:42 (Saturday) | Place: Makhachkala | go do nothing.
2032-04-05 17:34 (Monday) | Place: City28 | go do nothing.
2079-01-25 10:44 (Wednesday) | Place: Ryazan | go do nothing.
1976-10-20 18:51 (Wednesday) | Place: City19 | go do nothing.
1907-12-28 12:00 (Saturday) | Place: City26 | go do nothing.
2013-05-06 14:00 (Monday) | Place: Chelyabinsk | go do nothing.
1994-07-31 16:51 (Sunday) | Place: Krasnoyarsk | go do nothing.
1958-02-12 17:07 (Wednesday) | Place: Tyumen | go do nothing.
1942-02-09 10:48 (Monday) | Place: City16 | go do nothing.
1919-01-17 17:01 (Friday) | Place: City34 | go do nothing.
2052-10-19 16:43 (Saturday) | Place: City33 | go do nothing.
2093-06-06 14:11 (Saturday) | Place: City8 | go do nothing.
1973-02-14 13:01 (Wednesday) | Place: Ryazan | go do nothing.
2059-09-10 17:01 (Wednesday) | Place: Krasnoyarsk | go do nothing.
1929-10-01 13:17 (Tuesday) | Place: City14 | go do nothing.
2044-09-14 17:04 (Wednesday) | Place: City8 | go do nothing.
2027-08-22 16:00 (Sunday) | Place: Irkutsk | go do nothing.
2021-08-16 14:08 (Monday) | Place: City9 | go do nothing.
2057-12-28 16:03 (Friday) | Place: Makhachkala | go do nothing.
2062-03-15 14:58 (Wednesday) | Place: Vladivostok | go do nothing.
1999-09-10 18:17 (Friday) | Place: City27 | go do nothing.
1919-02-20 19:40 (Thursday) | Place: City7 | go do nothing.
1968-03-21 18:19 (Thursday) | Place: City13 | go do nothing.
2069-08-19 13:56 (Monday) | Place: City33 | go do nothing.
2037-12-12 14:31 (Saturday) | Place: City14 | go do nothing.
1936-08-04 18:41 (Tuesday) | Place: City13 | go do nothing.
2075-04-11 19:40 (Thursday) | Place: Saint Pyotrsburg | go do nothing.
1949-03-11 11:43 (Friday) | Place: City14 | go do nothing.
2063-03-05 11:56 (Monday) | Place: Voronezh | go do nothing.
2069-03-13 15:54 (Wednesday) | Place: City17 | go do nothing.
2076-09-17 14:11 (Thursday) | Place: City26 | go do nothing.
2076-08-09 17:32 (Sunday) | Place: City3 | go do nothing.
2066-09-07 16:08 (Tuesday) | Place: City14 | go do nothing.
1952-04-09 12:40 (Wednesday) | Place: Krasnoyarsk | go do nothing.
2066-11-20 17:20 (Saturday) | Place: Tyumen | go do nothing.
2065-12-26 19:18 (Saturday) | Place: City19 | go do nothing.
2052-10-10 13:47 (Thursday) | Place: City8 | go do nothing.
2024-11-07 17:03 (Thursday) | Place: City29 | go do nothing.
2032-04-16 16:43 (Friday) | Place: Saratov | go do nothing.
1919-06-19 09:46 (Thursday) | Place: Chelyabinsk | go do nothing.
1902-11-11 18:11 (Tuesday) | Place: Orenburg | go do nothing.
1932-08-08 12:17 (Monday) | Place: City29 | go do nothing.
2000-01-02 17:13 (Sunday) | Place: Rostov-on-Don | go do nothing.
1986-05-30 13:10 (Friday) | Place: City11 | go do nothing.
1939-09-29 09:03 (Friday) | Place: Cheboksary | go do nothing.
1917-04-05 19:34 (Thursday) | Place: City9 | go do nothing.
1925-03-10 12:27 (Tuesday) | Place: Rostov-on-Don | go do nothing.
1928-12-10 14:07 (Monday) | Place: City20 | go do nothing.
1957-06-27 19:43 (Thursday) | Place: City12 | go do nothing.
1925-03-31 14:18 (Tuesday) | Place: City14 | go do nothing.
1936-02-20 14:44 (Thursday) | Place: City5 | go do nothing.
1986-12-06 11:17 (Saturday) | Place: Tula | go do nothing.
1966-05-31 09:00 (Tuesday) | Place: Cheboksary | go do nothing.
2055-04-12 11:36 (Monday) | Place: Tyumen | go do nothing.
2075-03-13 09:24 (Wednesday) | Place: City23 | go do nothing.
1964-07-15 19:32 (Wednesday) | Place: City1 | go do nothing.
1912-04-10 18:38 (Wednesday) | Place: Kazan | go do nothing.
1985-10-29 18:12 (Tuesday) | Place: Yekaterinburg | go do nothing.
1909-10-07 09:16 (Thursday) | Place: City18 | go do nothing.
1919-02-28 16:21 (Friday) | Place: Irkutsk | go do nothing.
1965-11-24 17:47 (Wednesday) | Place: City26 | go do nothing.
2066-03-08 18:06 (Monday) | Place: City33 | go do nothing.
2067-01-07 13:39 (Friday) | Place: Moscow | go do nothing.
2006-04-22 08:32 (Saturday) | Place: City7 | go do nothing.
1945-12-22 19:10 (Saturday) | Place: City3 | go do nothing.
2013-02-15 10:43 (Friday) | Place: Ulyanovsk | go do nothing.
1915-10-14 10:04 (Thursday) | Place: City32 | go do nothing.
1958-04-18 15:55 (Friday) | Place: Saratov | go do nothing.
1988-11-07 18:04 (Monday) | Place: Kaliningrad | go do nothing.
1949-05-24 13:32 (Tuesday) | Place: Chelyabinsk | go do nothing.
1944-06-04 15:49 (Sunday) | Place: Tomsk | go do nothing.
1984-10-25 10:47 (Thursday) | Place: City2 | go do nothing.
2099-11-11 17:43 (Wednesday) | Place: City20 | go do nothing.
2098-12-18 13:56 (Thursday) | Place: City20 | go do nothing.
2031-08-03 15:04 (Sunday) | Place: Saratov | go do nothing.
1958-12-26 09:46 (Friday) | Place: Kemerovo | go do nothing.
2009-06-02 14:23 (Tuesday) | Place: Saratov | go do nothing.
1922-10-02 17:01 (Monday) | Place: City19 | go do nothing.
1920-07-26 08:47 (Monday) | Place: City31 | go do nothing.
1934-06-16 14:21 (Saturday) | Place: Voronezh | go do nothing.
1967-06-11 18:28 (Sunday) | Place: Penza | go do nothing.
2090-04-14 11:15 (Friday) | Place: Kaliningrad | go do nothing.
1976-09-23 19:39 (Thursday) | Place: Irkutsk | go do nothing.
1940-03-13 13:04 (Wednesday) | Place: City33 | go do nothing.
2024-12-09 08:40 (Monday) | Place: Naberezhnye Chelny | go do nothing.
1979-02-15 14:49 (Thursday) | Place: City12 | go do nothing.
2097-08-10 13:47 (Saturday) | Place: City5 | go do nothing.
1990-03-26 18:27 (Monday) | Place: Orenburg | go do nothing.
1943-11-27 10:05 (Saturday) | Place: City22 | go do nothing.
2081-10-22 16:53 (Wednesday) | Place: City24 | go do nothing.
1905-11-28 12:14 (Tuesday) | Place: Tyumen | go do nothing.
1962-12-17 09:46 (Monday) | Place: Novosibirsk | go do nothing.
1968-07-20 11:30 (Saturday) | Place: Naberezhnye Chelny | go do nothing.
1962-12-04 18:26 (Tuesday) | Place: Tula | go do nothing.
2026-07-15 16:15 (Wednesday) | Place: Nizhny Novgorod | go do nothing.
2064-05-27 09:49 (Tuesday) | Place: Tomsk | go do nothing.
1987-10-28 10:45 (Wednesday) | Place: Khabarovsk | go do nothing.
2071-01-03 16:49 (Saturday) | Place: City14 | go do nothing.
